stop_name,stop_lat,stop_lon
Pine St & 9th Ave,47.6134148,-122.332138
NE 55th St & 43rd Ave NE,47.6685753,-122.283653
40th Ave NE & NE 51st St,47.6658859,-122.284897
NE 55th St & 39th Ave NE,47.6685791,-122.285667
NE 55th St & 37th Ave NE,47.6685791,-122.2883
NE 55th St & 35th Ave NE,47.6685791,-122.290512
NE 55th St & 33rd Ave NE,47.6685829,-122.293015
NE 55th St & 30th Ave NE,47.6685905,-122.295448
NE 55th St & 27th Ave NE,47.6685944,-122.298859
NE 55th St & 25th Ave NE,47.6685944,-122.300995
Ravenna Ave NE & Ravenna Pl NE,47.6684799,-122.30378
Howell St & Minor Ave,47.6167107,-122.330597
NE Ravenna Blvd & Park Rd NE,47.6695518,-122.305405
20th Ave NE & NE 55th St,47.6682739,-122.30658
20th Ave NE & NE 52nd St,47.6662827,-122.306602
NE 50th St & 19th Ave NE,47.6649284,-122.307114
NE 50th St & 16th Ave NE,47.664959,-122.311172
Fairview Ave E & E Nelson Pl,47.6306038,-122.328629
Fairview Ave N & Yale Ave N,47.6283493,-122.33152
Fairview Ave N & Aloha St,47.6272087,-122.332947
Fairview Ave N & W Mercer St,47.6240349,-122.334457
Fairview Ave N & Thomas St,47.6205864,-122.334419
Boren Ave & Virginia St,47.6175003,-122.333817
Fairview Ave & Denny Way,47.6184196,-122.334198
Fairview Ave N & Harrison St,47.6222763,-122.334244
Fairview Ave N & Valley St,47.626545,-122.333542
Valley St & Fairview Ave N,47.6260338,-122.334106
Fairview Ave N & Yale Ave N,47.6288757,-122.330597
Fairview Ave E & Yale Ave N,47.6304703,-122.328545
NE 50th St & University Way NE,47.6648293,-122.31266
NE 50th St & 16th Ave NE,47.664814,-122.310432
Olive Way & 6th Ave,47.6130257,-122.336334
20th Ave NE & NE 50th St,47.6650276,-122.306404
20th Ave NE & NE 52nd St,47.6666412,-122.306404
20th Ave NE & NE 54th St,47.6681709,-122.306389
NE Ravenna Blvd & 21st Ave NE,47.6692657,-122.305489
Ravenna Ave NE & NE 54th St,47.6680031,-122.303864
NE 55th St & 25th Ave NE,47.6684494,-122.300217
NE 55th St & 27th Ave NE,47.6684494,-122.298218
NE 55th St & 30th Ave NE,47.6684494,-122.295074
NE 55th St & 33rd Ave NE,47.6684494,-122.29232
Olive Way & 8th Ave,47.6139374,-122.33416
NE 55th St & 35th Ave NE,47.6684456,-122.29039
NE 55th St & 36th Ave NE,47.6684456,-122.288803
40th Ave NE & NE 46th St,47.6618309,-122.284668
40th Ave NE & NE 50th St,47.6650925,-122.284698
NE 55th St & 40th Ave NE,47.6684418,-122.285049
NE 55th St & 45th Ave NE,47.6689377,-122.279518
NE 55th St & Princeton Ave NE,47.6691818,-122.275909
Sand Point Way NE & 38th Ave NE,47.6615753,-122.286484
Sand Point Way NE & 40th Ave NE,47.6634483,-122.284119
Sand Point Way NE & NE 50th St,47.6646538,-122.282867
Sand Point Way NE & NE 52nd St,47.6670799,-122.28035
Sand Point Way NE & Princeton Ave NE,47.6681938,-122.275978
Sand Point Way NE & NE 55th St,47.6683273,-122.273605
Sand Point Way NE & NE 55th St,47.6687355,-122.272636
Sand Point Way NE & NE Windermere Rd,47.6702614,-122.270485
Sand Point Way NE & NE 61st St,47.6729889,-122.266663
Sand Point Way NE & NE 65th St,47.6759682,-122.263428
Sand Point Way NE & NE 70th St,47.6794319,-122.263519
Sand Point Way NE & NE 74th St,47.6817589,-122.263565
Sand Point Way NE & NE 77th St,47.6850052,-122.264465
NOAA & Building 1,47.6865425,-122.257362
NE NOAA Dr,47.6861496,-122.260803
NE NOAA Dr & Guard Shack,47.6860771,-122.259285
NOAA & Building 3,47.6859894,-122.255554
Sand Point Way NE & Inverness Dr NE,47.6927567,-122.270775
Olive Way & Terry Ave,47.6149139,-122.331848
Sand Point Way NE & Matthews Pl NE,47.6945229,-122.275177
Sand Point Way NE & NE 93rd St,47.6961441,-122.276566
Sand Point Way NE & NE 95th St,47.6973534,-122.277527
Sand Point Way NE & NE 97th St,47.6990929,-122.277634
Sand Point Way NE & NE 103rd St,47.7030869,-122.277565
Sand Point Way NE & NE 106th St,47.7053642,-122.278374
Sand Point Way NE & NE 110th St,47.7092285,-122.280212
Sand Point Way NE & NE 115th St,47.7126198,-122.28183
Convention Place Tunnel Station - Bay I,47.6141129,-122.331726
Sand Point Way NE & NE 120th St,47.716011,-122.283005
Convention Place Tunnel Station - Bay C,47.6142197,-122.331795
Sand Point Way NE & NE 123rd St,47.717598,-122.283928
Convention Place Tunnel Station - Bay D,47.6142769,-122.331863
Sand Point Way NE & NE 125th St,47.7192917,-122.286949
Pine St & 9th Ave,47.6133766,-122.332603
Convention Place Tunnel Station - Bay E,47.6145744,-122.331688
NE 125th St & 35th Ave NE,47.7193222,-122.291283
NE 125th St & 33rd Ave NE,47.7193375,-122.293205
12th Ave NE & NE 47th St,47.662281,-122.31546
NE 45th St & University Way NE,47.6612053,-122.313477
15th Ave NE & NE 43rd St,47.6593704,-122.312096
